transaction_id,customer_name,product,quantity,price,total,purchase_date
1,Laura Turner,Laptop,1,$ 450.03,$ 450.03,11/01/2024
2,John Mckenzie,Laptop,3,$ 515.79,$ 1547.37,09/01/2024
3,Thomas Davis,Monitor,1,€ 1100.75,€ 1100.75,25/01/2024
4,James Li,Headphones,1,$ 804.0,$ 804.0,01/01/2024
5,Lisa Hill,Monitor,4,$ 1321.74,$ 5286.96,27/01/2024
6,Nancy Craig,Tablet,5,$ 103.13,$ 515.65,19/01/2024
7,Calvin Bradley,Headphones,5,$ 180.59,$ 902.95,24/01/2024
8,Jessica Fisher,Keyboard,1,€ 357.11,€ 357.11,05/01/2024
9,Rachel Whitney,Phone,3,$ 1669.44,$ 5008.32,06/01/2024
10,Jennifer Byrd,Mouse,2,€ 664.46,€ 1328.92,06/01/2024
11,David Adams,Tablet,5,€ 1355.47,€ 6777.35,20/01/2024
12,Maria Sexton,Keyboard,3,$ 1555.11,$ 4665.33,14/01/2024
13,Cynthia Owens,Laptop,3,$ 1285.98,$ 3857.94,21/01/2024
14,Megan Hood,Phone,2,$ 402.99,$ 805.98,09/01/2024
15,Jose Bryan MD,Tablet,2,€ 1879.96,€ 3759.92,09/01/2024
16,Bryce Krause,Tablet,4,$ 1466.02,$ 5864.08,10/01/2024
17,Kirk Orr,Headphones,1,€ 925.85,€ 925.85,09/01/2024
18,Deborah Mcdonald,Keyboard,4,$ 295.52,$ 1182.08,05/01/2024
19,Kristin Rice,Headphones,5,€ 586.51,€ 2932.55,22/01/2024
20,Terry Wells,Phone,4,€ 1743.98,€ 6975.92,03/01/2024
21,Kenneth Terry,Mouse,2,$ 697.26,$ 1394.52,25/01/2024
22,Pamela Gates,Phone,1,€ 328.71,€ 328.71,23/01/2024
23,Lauren Macias,Keyboard,4,$ 1172.02,$ 4688.08,28/01/2024
24,Susan Knight,Phone,1,$ 1874.0,$ 1874.0,07/01/2024
25,Travis Pearson,Phone,5,€ 717.95,€ 3589.75,21/01/2024
26,Ryan Harvey,Keyboard,5,€ 1735.97,€ 8679.85,04/01/2024
27,Madison Warner,Headphones,1,€ 260.59,€ 260.59,31/01/2024
28,Julie Dunn,Headphones,3,$ 619.66,$ 1858.98,22/01/2024
29,Danny Mendez,Keyboard,4,€ 409.32,€ 1637.28,01/01/2024
30,Teresa Gonzales,Keyboard,5,$ 624.14,$ 3120.7,11/01/2024
31,Sharon Petersen,Phone,4,€ 1269.53,€ 5078.12,26/01/2024
32,Jamie Owen MD,Monitor,3,€ 1190.62,€ 3571.86,30/01/2024
33,Gerald Roberts,Tablet,5,€ 1819.26,€ 9096.3,17/01/2024
34,Amanda Coleman,Tablet,4,€ 257.93,€ 1031.72,10/01/2024
35,Derek Smith,Headphones,5,$ 722.76,$ 3613.8,23/01/2024
36,Eric James,Keyboard,1,€ 1040.57,€ 1040.57,17/01/2024
37,Beth Wells,Tablet,4,$ 1880.46,$ 7521.84,16/01/2024
38,Erin Singh,Laptop,2,€ 1110.11,€ 2220.22,23/01/2024
39,Mark Martin,Keyboard,3,$ 759.72,$ 2279.16,09/01/2024
40,Melissa Donovan,Headphones,3,$ 1275.87,$ 3827.61,20/01/2024
41,Mercedes Porter,Keyboard,4,€ 1831.29,€ 7325.16,05/01/2024
42,Morgan Reilly,Tablet,5,€ 575.03,€ 2875.15,03/01/2024
43,Michael Mills,Laptop,4,$ 1442.69,$ 5770.76,19/01/2024
44,Eric Mcpherson,Mouse,2,€ 636.67,€ 1273.34,18/01/2024
45,Eric Henderson,Headphones,4,$ 865.21,$ 3460.84,08/01/2024
46,Scott Obrien,Laptop,4,€ 237.86,€ 951.44,23/01/2024
47,Michaela Smith,Mouse,2,$ 613.05,$ 1226.1,30/01/2024
48,Darrell Garrett,Keyboard,5,$ 1561.72,$ 7808.6,25/01/2024
49,Jonathan Adams,Laptop,1,$ 602.14,$ 602.14,12/01/2024
50,Amanda Lopez,Headphones,1,€ 528.37,€ 528.37,12/01/2024
51,Kellie Pierce,Phone,3,$ 1000.07,$ 3000.21,13/01/2024
52,Sarah Jones,Monitor,1,€ 1781.23,€ 1781.23,03/01/2024
53,Jessica Morgan,Phone,3,€ 1353.21,€ 4059.63,13/01/2024
54,Tracy Williams,Monitor,1,$ 325.11,$ 325.11,14/01/2024
55,Christian James,Tablet,3,€ 548.97,€ 1646.91,27/01/2024
56,Daniel Garrett,Headphones,4,€ 738.43,€ 2953.72,29/01/2024
57,Margaret Johnson,Laptop,5,$ 1618.25,$ 8091.25,09/01/2024
58,Stefanie Lee,Laptop,2,€ 515.34,€ 1030.68,05/01/2024
59,Thomas Smith,Tablet,3,$ 718.52,$ 2155.56,18/01/2024
60,Michael Boyer,Keyboard,4,$ 996.33,$ 3985.32,26/01/2024
61,Randy Simpson,Phone,2,€ 714.93,€ 1429.86,05/01/2024
62,Alyssa Thomas,Mouse,2,$ 722.26,$ 1444.52,08/01/2024
63,Jo Burke,Laptop,5,$ 1110.77,$ 5553.85,11/01/2024
64,Trevor Morales,Headphones,3,$ 1120.62,$ 3361.86,02/01/2024
65,Melinda Stephens,Headphones,2,€ 1717.66,€ 3435.32,06/01/2024
66,Mark Bernard II,Mouse,4,€ 1229.99,€ 4919.96,14/01/2024
