customer_name,total_clean
Michael Williams,285658.9
Michael Johnson,272902.46
Michael Smith,267136.58999999997
David Smith,258681.47
Michael Jones,245898.16
Michael Brown,231173.66
John Smith,222394.4
Christopher Smith,216162.46
James Smith,206120.59
Robert Smith,189001.30000000002
John Johnson,187447.05
Robert Johnson,184884.73
Jennifer Jones,172559.01
James Johnson,171348.34
Michael Wilson,167503.72
Jennifer Smith,164889.06
David Johnson,163713.76
Jennifer Williams,161779.71
William Smith,158286.94
Michael Miller,156572.48
Jessica Smith,149730.59
Michael Taylor,149275.38
Christopher Johnson,148769.09
David Jones,146135.8
Jennifer Brown,143703.26
John Williams,141115.67
Kimberly Smith,138710.92
Jennifer Davis,136402.91
Mark Smith,131901.38
James Williams,130381.55
Lisa Smith,128236.17
Jennifer Johnson,127587.07
Christopher Davis,127467.52
Robert Jones,127441.14
Joseph Smith,125958.89
Anthony Smith,125875.91
Matthew Smith,125770.63
Michael Rodriguez,123877.92
David Brown,123532.1
Angela Smith,122912.94
John Davis,121250.7
James Jones,121164.64
Michael Gonzalez,121040.06
Michael Garcia,120833.0
Brian Smith,120619.95
Michael Davis,119342.08
Jeffrey Williams,118473.38
Steven Smith,115261.74
Christopher Williams,115013.92
James Brown,114530.47
Joshua Smith,113751.2
Thomas Smith,112477.36
Stephanie Smith,112207.38
William Johnson,112044.53
Jason Smith,111633.18
Daniel Johnson,111238.96
David Wilson,110612.8
Matthew Jones,110552.98
Richard Smith,110338.0
Jennifer Garcia,109967.07
Michael White,109962.58
Michelle Johnson,109910.23
Christopher Brown,109568.55
Michael Martinez,107570.72
Jennifer Miller,106650.20999999999
Christopher Miller,106287.04
Jessica Johnson,105275.65
Matthew Johnson,105203.23
Sarah Smith,104680.15
Daniel Smith,104239.33
Joseph Johnson,104164.56
Jason Johnson,103723.70999999999
David Miller,102504.15
James Anderson,102171.04000000001
Jessica Brown,101744.97
Rebecca Smith,101260.93
Michelle Smith,100994.94
Robert Brown,100871.36
James Davis,100422.4
William Williams,98495.45
Stephanie Johnson,98375.89
Christopher Jones,98094.15000000001
Elizabeth Smith,97963.37
Melissa Smith,97426.5
David Davis,97251.3
Patricia Smith,96983.53
John Brown,96588.66
Brian Johnson,96552.95999999999
John Wilson,96308.95999999999
James Rodriguez,96146.33
John Jones,95901.33
Christopher Jackson,94620.76000000001
Susan Smith,93920.67
Kelly Brown,93673.4
Mary Smith,93532.8
Michael Thomas,93205.56999999999
Robert Anderson,92193.15
Amanda Smith,92192.72
Angela Johnson,92170.03
Nicholas Smith,91963.03
Angela Jones,91457.15
Matthew Williams,91454.53
Thomas Johnson,91414.46
Jeffrey Smith,91232.45
Gregory Johnson,91042.3
Timothy Smith,90869.2
David Williams,90385.96
Kenneth Smith,90222.63
Mary Miller,90060.43
Jessica Williams,89648.55
Steven Johnson,89148.12
Andrew Smith,89074.82
Jennifer Rodriguez,88932.84
Joseph Miller,88775.17
Robert Williams,88577.77
Ashley Smith,88284.88
Karen Smith,88260.88
Kimberly Brown,88045.02
Christopher Anderson,87829.77
Michelle Jones,87639.85
Stephanie Brown,87227.58
John Lee,87015.35
Lisa Jones,86685.27
Michael Lewis,86033.93000000001
Kimberly Williams,85348.36
Michael Martin,85322.0
Lisa Williams,85233.73
Charles Smith,84604.5
Michael Sanchez,84520.89
Emily Smith,84341.18
Mary Johnson,83886.28
Richard Johnson,83691.75
John Thompson,83684.3
Stephanie Williams,83615.69
Ashley Miller,83434.65
Joshua Johnson,83394.15
Nicholas Johnson,83270.32
Robert Miller,83169.34
Michael Hernandez,82908.38
Jonathan Williams,82880.33
Ashley Williams,82737.01
Joshua Brown,82673.93000000001
Michael Adams,82318.19
Sarah Brown,81813.44
Michael Jackson,81720.21
Ashley Johnson,81694.78
Christopher Wilson,81663.35
Elizabeth Jones,81200.39
Kimberly Johnson,81121.63
Michael Lopez,80942.78
Anthony Williams,80927.69
James Lee,80680.95999999999
Eric Jones,80481.09
David Hernandez,80052.65
James Moore,79954.4
Michael Allen,79468.53
Michael Thompson,79430.06
Jessica Jones,79428.66
Mark Williams,79293.16
Laura Brown,78999.34
Jason Jones,78831.3
William Miller,78802.04
John Miller,78726.13
Joseph Jones,78705.31
Daniel Williams,78552.6
James Jackson,77807.29
Cynthia Smith,77487.12
Nicole Smith,77128.06
John Anderson,76713.38
Amy Smith,76665.86
Nicole Johnson,76602.61
Richard Brown,76441.15
Amanda Johnson,76265.07
Christina Johnson,76250.99
Mark Miller,75909.29
Charles Johnson,75737.06
Michael Lee,75413.4
Elizabeth Johnson,75275.21
Matthew Brown,75212.41
Michael Cook,75172.3
Robert Davis,75155.2
Nicole Anderson,75095.93
Heather Smith,75081.92
Christopher Taylor,75077.15
Michael Clark,75010.07
Ryan Williams,74872.72
Christopher Garcia,74818.51
Steven Williams,74668.52
Michael King,74602.95
James Allen,74540.47
Elizabeth Brown,74412.51
Eric Smith,74215.21
Kimberly Jones,74069.31
Rebecca Martinez,74004.03
Michael Harris,73803.83
Jennifer Walker,73795.38
Laura Johnson,73676.14
James Thompson,73263.74
Sarah Johnson,73203.97
Michael Anderson,73122.5
Brandon Smith,72983.87
Matthew Rodriguez,72711.3
Robert Gonzalez,72704.22
Christopher Hernandez,72690.1
James Martinez,72511.65
Mark Jones,72257.66
Jonathan Smith,72200.62
Heather Williams,72110.17
Keith Smith,71807.95
Kelly Johnson,71713.22
Amy Johnson,71540.8
John Rodriguez,71537.67
Ashley Jones,71534.1
Tina Smith,71401.33
Lisa Miller,70756.31
Anthony Brown,70657.25
Rebecca Johnson,70484.52
Ashley Davis,70450.83
Rachel Smith,70397.48
David Moore,70370.5
William Rodriguez,70363.86
William Brown,70127.75
James Adams,70119.04
Christina Smith,69792.81
Tammy Smith,69775.25
Lisa Johnson,69662.41
Sarah Williams,69655.53
Katherine Smith,69444.46
Michael Bailey,69374.82
Michael Wright,69066.35
Kevin Williams,68794.4
Jennifer Lee,68727.09
Michael Phillips,68648.98
Michael Campbell,68641.29
Amy Garcia,68589.59999999999
James Wilson,68573.69
Brian Miller,68349.25
Daniel Davis,68242.35
Jessica Miller,68072.84999999999
David Martinez,68047.42
Sarah Jones,67881.86
Daniel Martinez,67867.12
Michael Robinson,67850.74
Jennifer Gomez,67802.26
Lisa Brown,67697.9
Steven Davis,67689.69
David Perez,67641.12
Joshua Martinez,67610.06
Christopher Gonzalez,67452.31
Elizabeth Williams,67444.19
David Rodriguez,67423.09
James Miller,67318.26
Jessica Anderson,67188.15
Brandon Miller,67161.16
William Jackson,67121.09
Michael Moore,67089.94
Christopher Thomas,67061.45
Kevin Jones,66954.33
Charles Jones,66881.19
Daniel Miller,66844.06
Michael Walker,66642.18
Amber Johnson,66517.86
Nicholas Jones,66286.01
Benjamin Johnson,66272.78
James Thomas,66254.43
Jessica Thomas,66174.47
Eric Johnson,66023.05
Robert Harris,65974.14
Justin Johnson,65964.91
David Martin,65947.83
Mary Davis,65920.62
David Nguyen,65851.72
Ashley Brown,65597.41
Amy Hernandez,65577.84
Mary Moore,65516.71
Amanda Jones,65330.909999999996
Daniel Brown,65327.56
Michael Nelson,65269.76
Christine Smith,65213.29
James Scott,65083.06
Michael Roberts,65082.91
David Young,65003.82
Kevin Johnson,64827.75
John Garcia,64723.33
William Jones,64655.0
John Lopez,64517.58
Jennifer White,64427.53
Michael Young,64427.38
Ashley Martinez,64391.0
Christopher Rodriguez,64388.39
David Garcia,64309.869999999995
Amanda Jackson,64308.57
Nicole Davis,64243.49
Paul Smith,64146.67
David White,63951.53
Amanda Brown,63757.28
John Taylor,63614.57
Timothy Williams,63482.53
Scott Brown,63452.81
Steven Miller,63304.73
Melissa Johnson,63215.06
James Clark,63205.64
Andrew Brown,63162.61
Jennifer Wright,63100.59
Mary Jones,62814.880000000005
Robert Thomas,62755.909999999996
Anthony Davis,62693.44
Douglas Johnson,62667.79
Michelle Miller,62606.98
Brian Williams,62586.81
Michelle Williams,62575.78
Heather Brown,62147.78
Adam Smith,61957.16
Matthew Garcia,61909.69
Robert Rodriguez,61837.67
Michael Howard,61643.799999999996
David Anderson,61594.57
Lauren Williams,61540.2
Michael Powell,61525.2
Michael Ramirez,61446.3
Robert Garcia,61416.14
Rachel Johnson,61366.44
John Martin,61137.04
Joshua Jones,61058.58
Tracy Smith,61012.57
Rebecca Williams,61000.14
Christopher Martinez,60981.65
John Phillips,60963.05
James Lopez,60951.479999999996
John Adams,60825.0
Robert Thompson,60803.88
Samantha Smith,60789.409999999996
Anthony Johnson,60758.53
Joseph Garcia,60739.45
Maria Smith,60671.54
Laura Smith,60565.42
Wendy Johnson,60542.869999999995
Stephanie Davis,60480.51
Mary Wilson,60456.87
Andrew Williams,60375.16
Joseph Martin,60309.65
Robert Wright,60199.28
Matthew Wilson,60127.479999999996
Michelle Brown,60029.49
Michelle Wilson,60019.1
Jeffrey Johnson,59946.659999999996
Jennifer Taylor,59899.05
John Jackson,59858.67
Mark Johnson,59850.24
Kimberly Miller,59654.78
Jonathan Johnson,59625.55
Angela Williams,59597.27
Timothy Johnson,59534.1
Jennifer Hernandez,59443.31
Jose Jones,59351.77
Christopher Clark,59311.36
Jennifer Moore,59245.02
Robert Clark,59225.33
Lisa Harris,59153.53
Michael Parker,58922.55
David Lee,58891.72
Andrew Johnson,58700.27
Joseph Anderson,58691.77
Robert Wilson,58659.86
John Moore,58534.51
Michael Perez,58515.759999999995
John Young,58458.67
Megan Smith,58210.48
Matthew Nelson,58135.54
David Taylor,58110.23
Justin Davis,57946.14
Mary Williams,57931.1
Matthew Hernandez,57856.68
James Phillips,57819.130000000005
Douglas Smith,57776.509999999995
Jennifer Martinez,57678.619999999995
Jennifer Hill,57515.45
Lauren Smith,57425.49
Susan Johnson,57360.45
Michelle Martinez,57269.51
Michael Rivera,57091.49
Robert Martinez,57078.05
Michael Hill,57071.07
Shannon Smith,57067.38
Jennifer Jackson,56964.19
Steven Anderson,56910.659999999996
Linda Wilson,56891.72
Scott Williams,56881.05
Michael Murphy,56859.15
Joseph Williams,56773.270000000004
James Garcia,56623.21
Jennifer Thomas,56604.03
David Evans,56590.78
Ryan Johnson,56398.0
Justin Smith,56306.52
Nicole Garcia,56284.49
Jessica Walker,56275.259999999995
Kevin Smith,56222.68
Donna Smith,56205.32
James Roberts,56186.75
Michael Mitchell,56180.27
Lisa Martin,56108.58
Patricia Johnson,56019.54
Jason Garcia,55956.07
Joseph Lopez,55950.33
Michael Graham,55869.5
Gregory Smith,55836.86
Eric Miller,55797.6
Rachel Williams,55690.54
