transaction_id,customer_name,purchase_date,item,quantity,price,total
1001,Sara,2024.01.19,Headphones,2,€45,€90
1002,Nada,2024-01-06,Keyboard,0,€45,€0
1003,Hana,2024-01-23,Monitor,2,$45,$90
1004,Nada,20 Jan 2024,Monitor,4,€20,€80
1005,Ali,02 Jan 2024,Keyboard,2,$85,$170
1006,Nada,11-01-2024,,5,$45,$325
1007,Sara,26-01-2024,,3,€500,€1500
1008,Omar,2024/01/06,Phone,3,€150,€450
1009,Mohamed,26-01-2024,Mouse,5,€45,€225
1010,Mohamed,2024-01-02,Laptop,1,$300,$300
1011,Youssef,10 Jan 2024,Chair,0,€45,€0
1012,Hana,16-01-2024,Mouse,5,€500,€2500
1013,Mohamed,2024/01/20,Headphones,3,€150,€450
1014,Khaled,2024.01.22,Mouse,0,$1200,$0
1015,Fatma,2024-01-25,Mouse,5,€1200,€6000
1016,Nada,2024-01-20,Monitor,1,€150,€150
1017,Khaled,12 Jan 2024,Headphones,5,$150,$750
1018,Nada,06-01-2024,Mouse,5,$1200,$6000
1019,Omar,14 Jan 2024,Laptop,4,$1200,$4800
1020,Khaled,01 Jan 2024,Keyboard,4,$20,$80
1021,Fatma,2024.01.22,Phone,2,€20,€40
1022,Ali,2024-01-20,Phone,2,$85,$170
1023,Khaled,2024/01/06,Phone,5,€300,€1500
1024,Nada,2024/01/10,Phone,4,$85,$340
1025,Mohamed,06-01-2024,Tablet,-1,€1200,€-1200
1026,Fatma,2024.01.11,Headphones,1,$85,$135
1027,Fatma,2024-01-18,Tablet,1,€20,€20
1028,Youssef,13 Jan 2024,Laptop,-1,€20,€-20
1029,Mohamed,12 Jan 2024,,-1,$45,$-45
1030,Khaled,21-01-2024,Phone,2,$45,$90
1031,,2024.01.13,Chair,-1,$500,$-500
1032,Sara,25 Jan 2024,Headphones,1,$500,$500
1033,Mohamed,2024/01/15,Monitor,1,€20,€70
1034,Youssef,2024.01.14,Mouse,0,€300,€100
1035,Omar,17 Jan 2024,Phone,1,$500,$500
1036,Sara,2024-01-28,Tablet,1,$20,$20
1037,Sara,05 Jan 2024,Mouse,3,€150,€400
1038,Sara,11 Jan 2024,Keyboard,4,€1200,€4750
1039,Laila,09-01-2024,Mouse,1,€45,€45
1040,Mohamed,19 Jan 2024,,1,€85,€85
1041,Hana,15-01-2024,Headphones,4,$1200,$4800
1042,Fatma,2024/01/15,,1,$500,$500
1043,Nada,2024-01-15,Laptop,5,$300,$1500
1044,Hana,2024-01-17,,5,€45,€225
1045,Laila,07 Jan 2024,,5,€85,€425
1046,Hana,2024.01.08,Phone,4,$85,$290
1047,Fatma,2024.01.19,Chair,-1,€45,€-45
1048,Omar,08 Jan 2024,Headphones,0,$300,$0
1049,Hana,2024/01/17,Monitor,3,€85,€255
1050,Ali,26-01-2024,Monitor,4,$500,$2000
1051,Fatma,05 Jan 2024,Laptop,2,€500,€1000
1052,Youssef,21 Jan 2024,Keyboard,4,$1200,$4800
1053,Sara,15 Jan 2024,Keyboard,3,$45,$135
1054,Youssef,10 Jan 2024,Tablet,4,€1200,€4800
1055,Sara,22 Jan 2024,,3,€20,€60
